股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
600050.SH,600050,中国联通,20250910,20250911,5.55,5.5528,5.7671,87.0,1000000.0,1036939.26,0.036939,1
600376.SH,600376,首开股份,20250912,20250919,5.0,5.0025,7.2564,7.0,1036939.26,1501725.03,0.448229,7
000063.SZ,000063,中兴通讯,20251015,20251016,51.03,51.0555,54.003,24.0,500575.01,528626.65,0.056039,1
002475.SZ,002475,立讯精密,20251015,20251016,55.04,55.0675,59.1704,29.0,500575.01,537010.69,0.072788,1
601212.SH,601212,白银有色,20251015,20251020,5.53,5.5328,5.8771,8.0,500575.01,530874.48,0.060529,5
300502.SZ,300502,新易盛,20251020,20251021,335.01,335.1775,365.2373,98.0,1065637.34,1159349.71,0.08794,1
002185.SZ,002185,华天科技,20251021,20251022,12.4,12.4062,12.2639,4.0,530874.48,523944.41,-0.013054,1
002208.SZ,002208,合肥城建,20251023,20251024,14.96,14.9675,14.3028,5.0,1683294.12,1605974.09,-0.045934,1
000555.SZ,000555,神州信息,20251027,20251028,14.68,14.6873,15.2024,20.0,802987.04,829816.72,0.033412,1
300520.SZ,300520,科大国创,20251027,20251028,33.26,33.2766,37.0815,27.0,802987.04,893368.61,0.112557,1
601138.SH,601138,工业富联,20251029,20251030,78.12,78.1591,77.931,6.0,861592.67,857704.68,-0.004513,1
000063.SZ,000063,中兴通讯,20251029,20251030,45.45,45.4727,44.8076,49.0,861592.67,847631.98,-0.016203,1
002709.SZ,002709,天赐材料,20251031,20251103,41.77,41.7909,40.2898,10.0,568445.55,547151.61,-0.03746,3
300274.SZ,300274,阳光电源,20251031,20251103,195.59,195.6878,199.3703,12.0,568445.55,578216.26,0.017188,3
000620.SZ,000620,盈新发展,20251031,20251106,2.76,2.7614,3.3783,20.0,568445.55,694331.67,0.221457,6
603686.SH,603686,福龙马,20251106,20251107,34.0,34.017,31.8841,2.0,562683.94,526558.67,-0.064202,1
600745.SH,600745,闻泰科技,20251106,20251107,41.4,41.4207,44.9775,47.0,562683.94,610024.36,0.084133,1
002320.SZ,002320,海峡股份,20251107,20251110,15.17,15.1776,14.5927,74.0,694331.67,666507.04,-0.040074,3
603516.SH,603516,淳中科技,20251110,20251111,230.0,230.115,202.5887,63.0,1136583.03,999024.5,-0.121028,1
000572.SZ,000572,海马汽车,20251111,20251112,9.7,9.7048,9.1254,2.0,666507.04,625711.69,-0.061208,1
300502.SZ,300502,新易盛,20251117,20251118,314.33,314.4872,316.7016,98.0,1624736.19,1633559.38,0.005431,1
601138.SH,601138,工业富联,20251125,20251126,56.36,56.3882,58.9005,4.0,544519.79,567870.9,0.042884,1
002474.SZ,002474,榕基软件,20251125,20251126,11.51,11.5158,12.3338,5.0,544519.79,582269.44,0.069326,1
000566.SZ,000566,海南海药,20251125,20251126,7.73,7.7339,8.6957,28.0,544519.79,611257.1,0.122562,1
002413.SZ,002413,雷科防务,20251128,20251203,7.0,7.0035,8.7556,12.0,1761397.44,2198537.68,0.248178,5
000078.SZ,000078,海王生物,20251205,20251208,4.82,4.8224,5.1374,4.0,1099268.84,1169204.52,0.06362,3
002565.SZ,002565,顺灏股份,20251205,20251209,11.0,11.0055,13.1934,9.0,1099268.84,1315696.29,0.196883,4
001208.SZ,001208,华菱线缆,20251219,20251222,21.41,21.4207,21.0195,15.0,828300.27,811485.74,-0.0203,3
002491.SZ,002491,通鼎互联,20251219,20251222,6.35,6.3532,6.9465,39.0,828300.27,904210.13,0.091645,3
300308.SZ,300308,中际旭创,20251219,20251222,583.34,583.6317,617.1913,71.0,828300.27,874527.55,0.05581,3
002792.SZ,002792,通宇通讯,20251224,20251229,30.88,30.8954,42.4588,21.0,2590223.42,3553979.58,0.372075,5
603123.SH,603123,翠微股份,20251231,20260105,15.61,15.6178,15.1224,8.0,1184659.86,1145249.7,-0.033267,5
002149.SZ,002149,西部材料,20251231,20260105,43.71,43.7319,46.007,38.0,1184659.86,1244297.79,0.050342,5
600783.SH,600783,鲁信创投,20251231,20260105,23.66,23.6718,22.2489,40.0,1184659.86,1111666.66,-0.061615,5
002565.SZ,002565,顺灏股份,20260106,20260107,17.76,17.7689,19.4503,11.0,1750607.07,1913194.13,0.092875,1
002347.SZ,002347,泰尔股份,20260106,20260107,12.41,12.4162,12.7036,12.0,1750607.07,1788269.35,0.021514,1
603667.SH,603667,五洲新春,20260108,20260109,75.61,75.6478,78.0709,36.0,1850731.74,1906959.02,0.030381,1
002163.SZ,002163,海南发展,20260108,20260109,20.8,20.8104,19.92,52.0,1850731.74,1768715.26,-0.044316,1
600151.SH,600151,航天机电,20260112,20260113,21.2,21.2106,20.4997,27.0,1225224.76,1182268.32,-0.03506,1
002324.SZ,002324,普利特,20260112,20260113,22.8,22.8114,21.4992,29.0,1225224.76,1152900.47,-0.059029,1
300065.SZ,300065,海兰信,20260112,20260113,24.25,24.2621,24.1079,77.0,1225224.76,1215491.18,-0.007944,1
002230.SZ,002230,科大讯飞,20260114,20260115,61.26,61.2906,63.3583,40.0,1775329.98,1832286.29,0.032082,1
601138.SH,601138,工业富联,20260114,20260115,60.1,60.13,60.7596,74.0,1775329.98,1791048.08,0.008854,1
603881.SH,603881,数据港,20260116,20260119,36.41,36.4282,34.2429,46.0,3623334.38,3400521.94,-0.061494,3
000547.SZ,000547,航天发展,20260120,20260121,29.0,29.0145,25.8671,5.0,1700260.97,1513395.18,-0.109904,1
002716.SZ,002716,湖南白银,20260120,20260123,11.5,11.5057,16.4318,54.0,1700260.97,2424320.56,0.425852,3
300136.SZ,300136,信维通信,20260122,20260123,73.05,73.0865,93.4533,20.0,756697.59,966015.79,0.276621,1
002498.SZ,002498,汉缆股份,20260122,20260123,5.4,5.4027,5.937,32.0,756697.59,830205.34,0.097143,1
601212.SH,601212,白银有色,20260126,20260130,10.97,10.9755,13.6632,12.0,4220541.69,5245665.2,0.242889,4
002165.SZ,002165,红宝丽,20260203,20260204,12.4,12.4062,14.1129,5.0,1748555.07,1985924.86,0.135752,1
002995.SZ,002995,天地在线,20260203,20260204,36.1,36.118,33.2734,15.0,1748555.07,1608260.49,-0.080235,1
002455.SZ,002455,百川股份,20260203,20260204,9.78,9.7849,10.7746,35.0,1748555.07,1922337.8,0.099386,1
000592.SZ,000592,平潭发展,20260209,20260210,11.59,11.5958,11.0945,9.0,1838841.05,1756524.53,-0.044765,1
601138.SH,601138,工业富联,20260209,20260210,56.2,56.2281,56.042,39.0,1838841.05,1829822.31,-0.004905,1
600519.SH,600519,贵州茅台,20260209,20260210,1518.0,1518.759,1504.0476,98.0,1838841.05,1818116.42,-0.01127,1
300058.SZ,300058,蓝色光标,20260211,20260212,19.3,19.3097,20.1499,6.0,5404463.25,5630620.71,0.041846,1
603993.SH,603993,洛阳钼业,20260224,20260225,22.95,22.9615,23.4383,49.0,2815310.36,2869174.23,0.019132,1
600111.SH,600111,北方稀土,20260224,20260226,56.0,56.028,59.0705,95.0,2815310.36,2963440.54,0.052616,2
002969.SZ,002969,嘉美包装,20260226,20260227,25.5,25.5127,23.4783,24.0,1434587.12,1318075.38,-0.081216,1
002455.SZ,002455,百川股份,20260226,20260227,14.05,14.057,14.3528,33.0,1434587.12,1462431.48,0.019409,1
002969.SZ,002969,嘉美包装,20260312,20260316,26.0,26.013,28.026,23.0,5743947.41,6178536.31,0.07566,4
002310.SZ,002310,东方新能,20260325,20260326,3.68,3.6818,3.4883,4.0,2059512.1,1948105.37,-0.054094,1
